Accuracy,Model,Category
91.64754864,Standard,Type I
93.55085394,Standard,Type I
69.61509049,Standard,Type I
89.48083949,Standard,Type I
93.60183533,Standard,Type I
93.797264,Standard,Type I
93.07502761,Standard,Type I
94.12014615,Standard,Type I
94.17962444,Standard,Type I
91.07825644,Standard,Type I
74.46675031,Standard,Type II
79.06733584,Standard,Type II
39.18862401,Standard,Type II
64.57549143,Standard,Type II
75.66917608,Standard,Type II
74.52948557,Standard,Type II
80.17565872,Standard,Type II
72.97156002,Standard,Type II
77.90673358,Standard,Type II
69.65704726,Standard,Type II
48.68078459,Standard,Type III
43.75976393,Standard,Type III
29.0921715,Standard,Type III
44.08956778,Standard,Type III
58.41867731,Standard,Type III
35.15014754,Standard,Type III
52.8293699,Standard,Type III
56.81305329,Standard,Type III
49.91320951,Standard,Type III
34.09998264,Standard,Type III
48.68078459,Standard,Hair Density
43.75976393,Standard,Hair Density
29.0921715,Standard,Hair Density
44.08956778,Standard,Hair Density
58.41867731,Standard,Hair Density
35.15014754,Standard,Hair Density
52.8293699,Standard,Hair Density
56.81305329,Standard,Hair Density
49.91320951,Standard,Hair Density
34.09998264,Standard,Hair Density
83.15065001,LatentNet,Type I
85.97162036,LatentNet,Type I
93.8142578,LatentNet,Type I
79.06364177,LatentNet,Type I
92.81162376,LatentNet,Type I
92.31880364,LatentNet,Type I
92.01291529,LatentNet,Type I
94.46002209,LatentNet,Type I
95.0123205,LatentNet,Type I
86.60039086,LatentNet,Type I
73.84985362,LatentNet,Type II
68.78920954,LatentNet,Type II
82.97783354,LatentNet,Type II
67.54496027,LatentNet,Type II
86.79422836,LatentNet,Type II
85.76955249,LatentNet,Type II
84.34755332,LatentNet,Type II
82.22501046,LatentNet,Type II
83.28105395,LatentNet,Type II
74.94772062,LatentNet,Type II
63.14007985,LatentNet,Type III
57.76774865,LatentNet,Type III
67.42752994,LatentNet,Type III
59.90279465,LatentNet,Type III
73.23381357,LatentNet,Type III
75.01301857,LatentNet,Type III
69.25013019,LatentNet,Type III
60.52768617,LatentNet,Type III
59.26922409,LatentNet,Type III
57.54209339,LatentNet,Type III
55.18277416,LatentNet,Hair Density
57.23585378,LatentNet,Hair Density
70.3555333,LatentNet,Hair Density
50.47571357,LatentNet,Hair Density
74.06109164,LatentNet,Hair Density
75.01251878,LatentNet,Hair Density
70.55583375,LatentNet,Hair Density
67.05057586,LatentNet,Hair Density
66.44967451,LatentNet,Hair Density
57.13570356,LatentNet,Hair Density
